State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total,No. of Operational PCS
Andaman & Nicobar,162,146945,147107,3
Arunachal Pradesh,20,252965,252985,9
Assam,64766,4677053,4741819,48
Bihar,83335,10407078,10490413,83
Chandigarh,2812,746881,749693,6
Chhattisgarh,20966,6836200,6857166,46
Delhi,156393,7685600,7841993,1845
Goa,3870,1071570,1075440,44
Gujarat,45272,20605484,20650756,195
Haryana,37035,10778270,10815305,232
Himachal Pradesh,1175,1964754,1965929,27
Jammu & Kashmir,2941,1869962,1872903,24
Jharkhand,16811,6486937,6503748,60
Karnataka,120532,26870303,26990835,704
Kerala,30775,15774078,15804853,192
Maharashtra,116646,31058990,31175636,660
Manipur,586,499324,499910,16
Meghalaya,49,459001,459050,19
Nagaland,58,339129,339187,6
Odisha,23371,9845073,9868444,117
Puducherry,2149,1213735,1215884,4
Punjab,14804,12463019,12477823,126
Rajasthan,81338,17327388,17408726,254
Sikkim,21,97189,97210,1
Tamil Nadu,82051,29842376,29924427,441
Tripura,9262,650026,659288,18
DNH & DD,183,307671,307854,1
Uttar Pradesh,337180,40092490,40429670,406
Uttarakhand,31008,3312041,3343049,48
West Bengal,48767,14134171,14182938,189
